,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change,sample_id
3397,26,163,1008,43817,1,42.281869,-83.151415,WGS84,Tetrachloroethylene,24 HOUR,,2013-11-18,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,176,6L SUBATM SS CANISTER - ENTECH PRECONCENTRATOR GC/MS,,1300 S FORT ST (Northeast corner),Michigan,Wayne,Detroit,Detroit-Warren-Dearborn MI,2014-02-25,3398
3398,27,137,34,88136,1,48.41252,-92.829225,WGS84,Nickel PM2.5 LC,24 HOUR,,2014-01-26,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,800,IMPROVE Module A with Cyclone Inlet-Teflon Filter 2.2 sq. cm. - X-Ray Fluorescence,VOYAGEURS NATIONAL PARK NEAR SULLIVAN BAY,VOYAGEURS NATIONAL PARK,Minnesota,Saint Louis,Not in a city,Duluth MN-WI,2015-07-31,3399
3399,27,163,438,43829,1,44.85711,-93.00352,WGS84,12-Dichloropropane,24 HOUR,,2005-11-12,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,113,SS-CANISTER-PRESSURIZED - CAPILLARY GC ITD MASS SPECTRO,MPC 438,4th Ave & 2nd St,Minnesota,Washington,Newport,Minneapolis-St. Paul-Bloomington MN-WI,2013-06-11,3400
3400,6,37,1103,88128,5,34.066590000000005,-118.22688000000001,WGS84,Lead PM2.5 LC,24 HOUR,,2006-01-11,Micrograms/cubic meter (LC),None,1,100.0,0.0091,0.0091,0,,811,Met One SASS Teflon - Energy Dispersive XRF,Los Angeles-North Main Street,1630 N MAIN ST LOS ANGELES,California,Los Angeles,Los Angeles,Los Angeles-Long Beach-Anaheim CA,2015-07-22,3401
3401,12,11,1002,43804,1,26.083143,-80.237586,WGS84,Carbon tetrachloride,24 HOUR,,2000-11-14,Parts per billion Carbon,None,1,100.0,0.05,0.05,1,,176,6L SUBATM SS CANISTER - ENTECH PRECONCENTRATOR GC/MS,U of F Ag Research Center,3205 SW 70TH AVENUE,Florida,Broward,Davie,Miami-Fort Lauderdale-West Palm Beach FL,2015-07-22,3402
3402,48,141,47,43860,1,31.775941999999997,-106.413177,WGS84,Vinyl chloride,24 HOUR,,2014-06-10,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,175,Passivated Canister - Cryogenic Preconcentration GC/MS,Womble,Cleveland Ave at Clark Dr,Texas,El Paso,El Paso,El Paso TX,2015-08-26,3403
3403,13,69,2,43829,1,31.513287,-82.750141,NAD83,12-Dichloropropane,24 HOUR,,2007-12-14,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,150,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,,GENERAL COFFEE STATE PARK 6635 STATE HWY 32 NICHOLLS GA 31554,Georgia,Coffee,Not in a city,Douglas GA,2013-06-11,3404
3404,45,25,1,43802,1,34.615367,-80.198787,WGS84,Dichloromethane,24 HOUR,,2002-10-29,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,150,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,CHESTERFIELD,RT 2 BOX 100 MCBEE  (SC145) [Chesterfield],South Carolina,Chesterfield,Not in a city,,2013-06-11,3405
3405,6,19,8,88110,5,36.781333000000004,-119.77318999999999,WGS84,Cadmium PM2.5 LC,24 HOUR,,2009-07-12,Micrograms/cubic meter (LC),None,1,100.0,0.003,0.003,0,,811,Met One SASS Teflon - Energy dispersive XRF,3425 N FIRST ST FRESNO,3425 N FIRST ST FRESNO,California,Fresno,Fresno,Fresno CA,2013-06-10,3406
3406,12,129,1,88112,1,30.0925,-84.161111,WGS84,Chromium PM2.5 LC,24 HOUR,,2010-10-23,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,800,IMPROVE Module A with Cyclone Inlet-Teflon Filter 2.2 sq. cm. - X-Ray Fluorescence,St. Marks Wildlife Refuge,COUNTY RD 59,Florida,Wakulla,Saint Marks,Tallahassee FL,2015-07-28,3407
3407,45,19,46,88136,1,32.941023,-79.657187,WGS84,Nickel PM2.5 LC,24 HOUR,,1995-02-11,Micrograms/cubic meter (LC),None,1,100.0,0.0016,0.0016,0,,800,IMPROVE Module A with Cyclone Inlet-Teflon Filter 2.2 sq. cm. - X-Ray Fluorescence,CAPE ROMAIN,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,Charleston-North Charleston SC,2015-07-22,3408
3408,41,5,102,88112,1,45.28845,-121.782775,WGS84,Chromium PM2.5 LC,24 HOUR,,2012-06-26,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,800,IMPROVE Module A with Cyclone Inlet-Teflon Filter 2.2 sq. cm. - X-Ray Fluorescence,MULTORPOR-Ski Bowl Mt. Hood Wilderness,MULTORPOR BOX 87 GOVT CAMP OR 97028,Oregon,Clackamas,Not in a city,Portland-Vancouver-Hillsboro OR-WA,2015-07-10,3409
3409,53,37,4,88103,1,47.399815000000004,-121.42709599999999,WGS84,Arsenic PM2.5 LC,24 HOUR,,2014-10-14,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,800,IMPROVE Module A with Cyclone Inlet-Teflon Filter 2.2 sq. cm. - X-Ray Fluorescence,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,Ellensburg WA,2015-07-31,3410
3410,6,65,8001,88112,6,33.99958,-117.41601000000001,WGS84,Chromium PM2.5 LC,24 HOUR,,2006-09-29,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,811,Met One SASS Teflon - Energy dispersive XRF,Rubidoux,5888 MISSION BLVD. RUBIDOUX,California,Riverside,Rubidoux,Riverside-San Bernardino-Ontario CA,2015-07-22,3411
3411,53,77,9,88112,5,46.598056,-120.49916699999999,WGS84,Chromium PM2.5 LC,24 HOUR,,2008-12-14,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,811,Met One SASS Teflon - Energy dispersive XRF,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,Yakima WA,2015-07-22,3412
3412,48,245,19,43802,1,29.893849,-93.979262,NAD83,Dichloromethane,24 HOUR,,1997-09-25,Parts per billion Carbon,None,1,100.0,0.1,0.1,0,,149,6L SUBATM CANISTER - Entech Precon-  GC/FID/MSD,City Service Center / PA,201 H O Mills Blvd,Texas,Jefferson,Port Arthur,Beaumont-Port Arthur TX,2013-06-11,3413
3413,36,85,111,43815,1,40.58027,-74.19832,WGS84,Ethylene dichloride,24 HOUR,,2001-07-18,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,150,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,FRESHKILLS WEST,FRESHKILLS WEST   310 West Service Road,New York,Richmond,New York,New York-Newark-Jersey City NY-NJ-PA,2013-06-11,3414
3414,39,35,1002,43843,1,41.39629,-81.818667,NAD83,Ethylene dibromide,24 HOUR,,2015-05-06,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,150,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,BROOKPARK,16900 HOLLAND RD.,Ohio,Cuyahoga,Brook Park,Cleveland-Elyria OH,2016-09-27,3415
3415,45,25,1,43502,1,34.615367,-80.198787,WGS84,Formaldehyde,24 HOUR,,2012-05-03,Parts per billion Carbon,None,1,100.0,3.4,3.4,0,,102,CARTRIDGE-DNPH-ON-SILICA - HPLC ULTRAVIOLET ABSORPTION,CHESTERFIELD,RT 2 BOX 100 MCBEE  (SC145) [Chesterfield],South Carolina,Chesterfield,Not in a city,,2013-08-21,3416
3416,6,29,14,12103,6,35.356092,-119.04120900000001,NAD83,Arsenic (TSP) STP,24 HOUR,,1994-07-07,Micrograms/cubic meter (25 C),None,1,100.0,0.0,0.0,0,,92,HI-VOL - ATOMIC ABSORPTION,Bakersfield-California,5558 California Ave. Bakersfield CA 93309,California,Kern,Bakersfield,Bakersfield CA,2013-06-11,3417
3417,6,25,5,43817,5,32.676186,-115.484144,NAD83,Tetrachloroethylene,24 HOUR,,2005-04-16,Parts per billion Carbon,None,1,100.0,0.04,0.04,0,,171,6L Pressurized Canister - Precon Saturn GC/MS,Calexico-Ethel Street,1029 ETHEL ST CALEXICO HIGH SCHOOL,California,Imperial,Calexico,El Centro CA,2013-06-11,3418
3418,17,119,9,12136,1,38.695278,-90.139444,NAD27,Nickel (TSP) STP,24 HOUR,,1990-08-15,Micrograms/cubic meter (25 C),None,1,100.0,0.01,0.01,0,,90,HI-VOL - EMISSION SPECTRA ICAP,,2001 E 20TH ST,Illinois,Madison,Granite City,St. Louis MO-IL,2013-06-11,3419
3419,6,13,2003,43843,3,38.0096,-121.8211,WGS84,Ethylene dibromide,24 HOUR,,1992-01-02,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,169,TEDLAR BAG - PACKED COLUMN GC - ECD/PID,,1201 W. 10th Street Antioch,California,Contra Costa,Not in a city,San Francisco-Oakland-Hayward CA,2013-06-11,3420
3420,44,7,22,43509,2,41.807776000000004,-71.41510500000001,NAD83,Acrolein - Verified,24 HOUR,,2007-03-07,Parts per billion Carbon,None,1,100.0,0.63,0.63,0,,136,6L Pressurized Canister - Entech Precon w/Agilent GC/MS/FID,Urban League BUILDING ROOFTOP,212 PRAIRIE AVE PROVIDENCE RI,Rhode Island,Providence,Providence,Providence-Warwick RI-MA,2015-07-22,3421
3421,48,251,1008,43830,1,32.469701,-97.169271,WGS84,trans-13-Dichloropropene,24 HOUR,,2014-01-29,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,175,Passivated Canister - Cryogenic Preconcentration GC/MS,Johnson County Luisa,2420 Luisa Ln,Texas,Johnson,Alvarado,Dallas-Fort Worth-Arlington TX,2015-03-20,3422
3422,2,170,11,88128,1,62.314754,-150.31790900000001,WGS84,Lead PM2.5 LC,24 HOUR,,2008-06-26,Micrograms/cubic meter (LC),None,1,100.0,0.001,0.001,0,,800,IMPROVE Module A with Cyclone Inlet-Teflon Filter 2.2 sq. cm. - X-Ray Fluorescence,,Trapper Creek,Alaska,Matanuska-Susitna,Trapper Creek,Anchorage AK,2015-08-17,3423
3423,48,141,55,43802,1,31.746775,-106.40280600000001,NAD83,Dichloromethane,24 HOUR,,2005-02-21,Parts per billion Carbon,None,1,100.0,0.01,0.01,0,,175,Passivated Canister - Cryogenic Preconcentration GC/MS,Ascarate Park SE,650 R E Thomason Loop,Texas,El Paso,El Paso,El Paso TX,2013-06-11,3424
3424,18,89,22,45201,7,41.60668,-87.30472900000001,WGS84,Benzene,24 HOUR,,2006-02-28,Parts per billion Carbon,None,1,100.0,1.9,1.9,0,,150,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,201 MISSISSIPPI ST. IITRI BUNKER,Indiana,Lake,Gary,Chicago-Naperville-Elgin IL-IN-WI,2015-03-20,3425
3425,48,201,24,43804,1,29.901035999999998,-95.326137,WGS84,Carbon tetrachloride,24 HOUR,,2009-05-31,Parts per billion Carbon,None,1,100.0,0.11,0.11,0,,175,Passivated Canister - Cryogenic Preconcentration GC/MS,Houston Aldine,4510 1/2 Aldine Mail Rd,Texas,Harris,Houston,Houston-The Woodlands-Sugar Land TX,2013-06-10,3426
3426,36,31,3,88128,5,44.39308,-73.8589,WGS84,Lead PM2.5 LC,24 HOUR,,2015-11-02,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,811,Met One SASS Teflon - Energy Dispersive XRF,WHITEFACE BASE,Wilmington BASE WHITEFACE MTN ASRC SUNY,New York,Essex,Not in a city,,2016-07-26,3427
3427,55,27,7,88136,5,43.435,-88.527778,NAD27,Nickel PM2.5 LC,24 HOUR,,2006-08-27,Micrograms/cubic meter (LC),None,1,100.0,0.0014,0.0014,0,,811,Met One SASS Teflon - Energy Dispersive XRF,MAYVILLE,MAYVILLE NEAR N6705 MADISON RD,Wisconsin,Dodge,Not in a city,Beaver Dam WI,2015-07-22,3428
3428,26,91,7,88132,5,41.995568,-83.946559,WGS84,Manganese PM2.5 LC,24 HOUR,,2015-06-29,Micrograms/cubic meter (LC),None,1,100.0,0.001,0.001,0,,811,Met One SASS Teflon - Energy Dispersive XRF,6792 RAISIN CENTER HWY LENAWEE CO.RD.COMM.OWNER TECUMSEH,6792 RAISEN CENTER HIGHWAY,Michigan,Lenawee,Tecumseh,Adrian MI,2016-07-26,3429
3429,27,53,963,43802,1,44.95366,-93.25820999999999,WGS84,Dichloromethane,24 HOUR,,2003-10-18,Parts per billion Carbon,None,1,100.0,0.19,0.19,0,,113,SS-CANISTER-PRESSURIZED - CAPILLARY GC ITD MASS SPECTRO,HC Anderson School,2727 10th Ave. S.,Minnesota,Hennepin,Minneapolis,Minneapolis-St. Paul-Bloomington MN-WI,2013-06-11,3430
3430,29,207,1,88112,1,36.970052,-90.1401,WGS84,Chromium PM2.5 LC,24 HOUR,,2012-02-24,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,800,IMPROVE Module A with Cyclone Inlet-Teflon Filter 2.2 sq. cm. - X-Ray Fluorescence,,MINGO REFUGE MAINTENANCE SHED,Missouri,Stoddard,Not in a city,,2015-07-10,3431
3431,40,143,1127,43503,6,36.204902000000004,-95.976537,WGS84,Acetaldehyde,24 HOUR,,2011-02-08,Parts per billion Carbon,None,1,100.0,0.92,0.92,0,,202,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,NORTH TULSA - FIRE STATION#24,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,Tulsa OK,2015-07-21,3432
3432,17,31,52,12136,1,41.965485,-87.749928,WGS84,Nickel (TSP) STP,24 HOUR,,2005-10-01,Micrograms/cubic meter (25 C),None,1,100.0,0.008,0.008,0,,92,HI-VOL - ATOMIC ABSORPTION,MAYFAIR PUMP STATION,4850 WILSON AVE.,Illinois,Cook,Chicago,Chicago-Naperville-Elgin IL-IN-WI,2013-06-11,3433
3433,56,29,9002,88136,1,44.744723,-109.38236599999999,WGS84,Nickel PM2.5 LC,24 HOUR,,2013-07-03,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,800,IMPROVE Module A with Cyclone Inlet-Teflon Filter 2.2 sq. cm. - X-Ray Fluorescence,,North Absaroka,Wyoming,Park,Not in a city,,2015-07-02,3434
3434,17,43,4002,88103,5,41.771071,-88.152534,WGS84,Arsenic PM2.5 LC,24 HOUR,,2007-01-18,Micrograms/cubic meter (LC),None,1,100.0,0.001,0.001,0,,811,Met OneSASS Teflon - Energy dispersive XRF,CITY HALL,400 S. EAGLE ST.,Illinois,DuPage,Naperville,Chicago-Naperville-Elgin IL-IN-WI,2015-07-22,3435
3435,27,53,963,43804,1,44.95366,-93.25820999999999,WGS84,Carbon tetrachloride,24 HOUR,,2008-09-21,Parts per billion Carbon,None,1,100.0,0.1,0.1,0,,113,SS-CANISTER-PRESSURIZED - CAPILLARY GC ITD MASS SPECTRO,HC Anderson School,2727 10th Ave. S.,Minnesota,Hennepin,Minneapolis,Minneapolis-St. Paul-Bloomington MN-WI,2013-06-11,3436
3436,6,1,1001,43218,5,37.535833000000004,-121.961823,NAD83,13-Butadiene,24 HOUR,,1994-09-11,Parts per billion Carbon,None,1,100.0,0.2,0.2,0,,168,6L PRESSURIZED CANISTER - PACKED COLUMN GC - ECD/PID,Fremont - Chapel Way,40733 CHAPEL WAY. FREMONT,California,Alameda,Fremont,San Francisco-Oakland-Hayward CA,2013-06-11,3437
3437,36,31,3,45201,1,44.39308,-73.8589,WGS84,Benzene,24 HOUR,,2002-02-25,Parts per billion Carbon,None,1,100.0,1.4,1.4,0,,150,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,WHITEFACE BASE,Wilmington BASE WHITEFACE MTN ASRC SUNY,New York,Essex,Not in a city,,2013-06-11,3438
3438,36,101,3,88112,5,42.09142,-77.20978000000001,WGS84,Chromium PM2.5 LC,24 HOUR,,2001-09-19,Micrograms/cubic meter (LC),None,1,100.0,0.00095,0.00095,0,,851,R&P MDL 2300 PM2.5 SEQ SPEC TEF - ENERGY DISPERSIVE XREF,PINNACLE STATE PARK,8301 ACKERSON ROAD Pinnacle State Park,New York,Steuben,Not in a city,Corning NY,2015-07-22,3439
3439,26,111,953,45201,1,43.591389,-84.20944399999999,NAD27,Benzene,24 HOUR,,1994-08-18,Parts per billion Carbon,None,1,100.0,12.4,12.4,0,,110,SS-CANISTER-PRESSURIZED - GAS CHROMATOGRAPH MASS SPECTRO,WOOD PLATFORM,3900 S. SAGINAW,Michigan,Midland,Midland,Midland MI,2014-03-12,3440
3440,12,11,1002,88132,5,26.083143,-80.237586,WGS84,Manganese PM2.5 LC,24 HOUR,,2007-02-17,Micrograms/cubic meter (LC),None,1,100.0,0.002,0.002,0,,811,Met One SASS Teflon - Energy Dispersive XRF,U of F Ag Research Center,3205 SW 70TH AVENUE,Florida,Broward,Davie,Miami-Fort Lauderdale-West Palm Beach FL,2015-07-22,3441
3441,25,25,42,88110,5,42.3295,-71.0826,WGS84,Cadmium PM2.5 LC,24 HOUR,,2011-11-23,Micrograms/cubic meter (LC),None,1,100.0,0.008,0.008,0,,811,Met One SASS Teflon - Energy dispersive XRF,DUDLEY SQUARE ROXBURY,HARRISON AVE,Massachusetts,Suffolk,Boston,Boston-Cambridge-Newton MA-NH,2013-06-10,3442
3442,5,119,7,88103,5,34.756189,-92.281296,WGS84,Arsenic PM2.5 LC,24 HOUR,,2009-10-28,Micrograms/cubic meter (LC),None,1,100.0,0.0,0.0,0,,811,Met OneSASS Teflon - Energy dispersive XRF,PARR,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,Little Rock-North Little Rock-Conway AR,2015-07-21,3443
3443,45,51,2,12136,2,33.702771000000006,-78.877478,WGS84,Nickel (TSP) STP,24 HOUR,,2006-03-06,Micrograms/cubic meter (25 C),None,1,100.0,0.0,0.0,0,,90,HI-VOL - EMISSION SPECTRA ICAP,MYRTLE BEACH,632 18TH AVENUE N. [Myrtle Beach],South Carolina,Horry,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach SC-NC,2013-06-11,3444
3444,48,201,1035,45201,2,29.733726,-95.257593,NAD83,Benzene,1 HOUR,,2007-04-15,Parts per billion Carbon,None,19,79.0,2.3268419999999996,15.19,23,,128,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,Clinton,9525 1/2 Clinton Dr,Texas,Harris,Houston,Houston-The Woodlands-Sugar Land TX,2013-06-11,3445
3445,21,19,17,43502,1,38.459340000000005,-82.64041,NAD83,Formaldehyde,24 HOUR,,2004-06-26,Parts per billion Carbon,None,1,100.0,1.8,1.8,0,,202,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,ASHLAND PRIMARY (FIVCO),FIVCO HEALTH DEPARTMENT 2924 HOLT STREET,Kentucky,Boyd,Ashland,Huntington-Ashland WV-KY-OH,2013-06-11,3446
